dorm_id,timestamp,energy_kwh,outdoor_temp_c,indoor_temp_c,occupancy_flag,ac_on_flag,is_weekend,intervention_flag
TJ_SIPING_B3_0612,2026-07-01 00:00:00,0.581,31.5,24.5,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 01:00:00,0.565,30.1,24.4,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 02:00:00,0.515,29.6,23.5,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 03:00:00,0.054,27.8,27.2,0,0,0,0
TJ_SIPING_B3_0612,2026-07-01 04:00:00,0.394,27.5,25.1,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 05:00:00,0.443,26.8,23.6,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 06:00:00,0.08,26.2,25.1,1,0,0,0
TJ_SIPING_B3_0612,2026-07-01 07:00:00,0.376,25.6,24.1,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 08:00:00,0.408,25.0,24.7,0,1,0,0
TJ_SIPING_B3_0612,2026-07-01 09:00:00,0.05,25.2,23.7,0,0,0,0
TJ_SIPING_B3_0612,2026-07-01 10:00:00,0.392,25.6,23.4,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 11:00:00,0.05,26.6,25.4,0,0,0,0
TJ_SIPING_B3_0612,2026-07-01 12:00:00,0.424,27.6,23.8,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 13:00:00,0.065,28.3,26.7,1,0,0,0
TJ_SIPING_B3_0612,2026-07-01 14:00:00,0.473,29.2,23.3,0,1,0,0
TJ_SIPING_B3_0612,2026-07-01 15:00:00,0.043,30.1,28.5,0,0,0,0
TJ_SIPING_B3_0612,2026-07-01 16:00:00,0.055,30.7,31.1,0,0,0,0
TJ_SIPING_B3_0612,2026-07-01 17:00:00,0.051,31.8,31.2,0,0,0,0
TJ_SIPING_B3_0612,2026-07-01 18:00:00,0.813,33.7,24.1,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 19:00:00,0.712,33.4,23.7,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 20:00:00,0.08,33.7,33.5,1,0,0,0
TJ_SIPING_B3_0612,2026-07-01 21:00:00,0.062,34.4,34.1,1,0,0,0
TJ_SIPING_B3_0612,2026-07-01 22:00:00,0.685,32.3,23.9,1,1,0,0
TJ_SIPING_B3_0612,2026-07-01 23:00:00,0.653,31.5,24.0,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 00:00:00,0.598,31.1,23.6,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 01:00:00,0.496,29.9,23.9,0,1,0,0
TJ_SIPING_B3_0612,2026-07-02 02:00:00,0.079,29.1,28.0,1,0,0,0
TJ_SIPING_B3_0612,2026-07-02 03:00:00,0.471,28.3,24.1,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 04:00:00,0.095,28.3,28.4,1,0,0,0
TJ_SIPING_B3_0612,2026-07-02 05:00:00,0.431,26.4,23.4,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 06:00:00,0.419,25.9,24.7,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 07:00:00,0.433,25.5,23.6,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 08:00:00,0.078,25.4,24.8,1,0,0,0
TJ_SIPING_B3_0612,2026-07-02 09:00:00,0.051,25.8,25.4,0,0,0,0
TJ_SIPING_B3_0612,2026-07-02 10:00:00,0.48,26.0,24.1,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 11:00:00,0.049,26.4,25.1,0,0,0,0
TJ_SIPING_B3_0612,2026-07-02 12:00:00,0.39,27.0,23.5,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 13:00:00,0.063,27.3,27.3,0,0,0,0
TJ_SIPING_B3_0612,2026-07-02 14:00:00,0.583,31.1,24.2,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 15:00:00,0.575,30.9,23.9,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 16:00:00,0.642,31.5,24.5,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 17:00:00,0.713,32.2,24.0,0,1,0,0
TJ_SIPING_B3_0612,2026-07-02 18:00:00,0.701,32.4,23.4,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 19:00:00,0.07,32.2,32.1,1,0,0,0
TJ_SIPING_B3_0612,2026-07-02 20:00:00,0.763,33.4,23.9,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 21:00:00,0.744,33.1,23.8,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 22:00:00,0.652,31.9,24.0,1,1,0,0
TJ_SIPING_B3_0612,2026-07-02 23:00:00,0.723,32.5,24.2,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 00:00:00,0.632,31.3,24.5,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 01:00:00,0.59,31.2,24.4,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 02:00:00,0.065,29.1,28.7,1,0,0,0
TJ_SIPING_B3_0612,2026-07-03 03:00:00,0.421,27.7,23.7,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 04:00:00,0.054,27.6,25.3,1,0,0,0
TJ_SIPING_B3_0612,2026-07-03 05:00:00,0.415,27.0,24.2,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 06:00:00,0.064,26.6,25.4,1,0,0,0
TJ_SIPING_B3_0612,2026-07-03 07:00:00,0.084,25.5,25.3,1,0,0,0
TJ_SIPING_B3_0612,2026-07-03 08:00:00,0.063,25.0,23.3,0,0,0,0
TJ_SIPING_B3_0612,2026-07-03 09:00:00,0.355,26.1,25.2,0,1,0,0
TJ_SIPING_B3_0612,2026-07-03 10:00:00,0.358,25.7,23.2,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 11:00:00,0.039,26.9,27.0,0,0,0,0
TJ_SIPING_B3_0612,2026-07-03 12:00:00,0.416,27.2,24.1,0,1,0,0
TJ_SIPING_B3_0612,2026-07-03 13:00:00,0.073,28.0,26.3,1,0,0,0
TJ_SIPING_B3_0612,2026-07-03 14:00:00,0.423,29.3,23.0,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 15:00:00,0.069,30.1,28.9,0,0,0,0
TJ_SIPING_B3_0612,2026-07-03 16:00:00,0.594,31.4,24.7,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 17:00:00,0.595,31.4,24.4,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 18:00:00,0.069,32.3,32.8,1,0,0,0
TJ_SIPING_B3_0612,2026-07-03 19:00:00,0.052,33.0,31.7,0,0,0,0
TJ_SIPING_B3_0612,2026-07-03 20:00:00,0.747,33.7,23.3,0,1,0,0
TJ_SIPING_B3_0612,2026-07-03 21:00:00,0.767,33.5,25.0,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 22:00:00,0.715,33.6,24.0,1,1,0,0
TJ_SIPING_B3_0612,2026-07-03 23:00:00,0.636,31.0,23.9,1,1,0,0
TJ_SIPING_B3_0612,2026-07-04 00:00:00,0.65,31.8,24.1,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 01:00:00,0.55,29.9,24.1,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 02:00:00,0.072,29.5,28.2,1,0,1,0
TJ_SIPING_B3_0612,2026-07-04 03:00:00,0.499,29.2,24.2,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 04:00:00,0.067,27.4,25.3,1,0,1,0
TJ_SIPING_B3_0612,2026-07-04 05:00:00,0.067,25.8,22.9,1,0,1,0
TJ_SIPING_B3_0612,2026-07-04 06:00:00,0.447,26.4,24.0,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 07:00:00,0.056,26.1,23.8,1,0,1,0
TJ_SIPING_B3_0612,2026-07-04 08:00:00,0.434,26.4,23.8,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 09:00:00,0.382,26.6,23.8,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 10:00:00,0.389,25.8,23.6,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 11:00:00,0.072,26.6,25.5,1,0,1,0
TJ_SIPING_B3_0612,2026-07-04 12:00:00,0.059,28.0,26.7,0,0,1,0
TJ_SIPING_B3_0612,2026-07-04 13:00:00,0.065,28.3,28.3,1,0,1,0
TJ_SIPING_B3_0612,2026-07-04 14:00:00,0.518,29.8,24.5,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 15:00:00,0.572,30.9,24.0,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 16:00:00,0.499,30.7,23.9,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 17:00:00,0.624,32.2,25.0,0,1,1,0
TJ_SIPING_B3_0612,2026-07-04 18:00:00,0.709,34.0,24.9,0,1,1,0
TJ_SIPING_B3_0612,2026-07-04 19:00:00,0.047,33.1,33.5,0,0,1,0
TJ_SIPING_B3_0612,2026-07-04 20:00:00,0.8,34.3,24.3,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 21:00:00,0.73,33.7,23.3,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 22:00:00,0.749,33.5,24.7,1,1,1,0
TJ_SIPING_B3_0612,2026-07-04 23:00:00,0.612,32.0,23.8,1,1,1,0
TJ_SIPING_B3_0612,2026-07-05 00:00:00,0.687,32.6,23.0,1,1,1,0
TJ_SIPING_B3_0612,2026-07-05 01:00:00,0.609,30.0,23.3,1,1,1,0
TJ_SIPING_B3_0612,2026-07-05 02:00:00,0.516,29.5,23.1,1,1,1,0
TJ_SIPING_B3_0612,2026-07-05 03:00:00,0.43,28.5,24.3,1,1,1,0
TJ_SIPING_B3_0612,2026-07-05 04:00:00,0.062,28.4,27.4,1,0,1,0
TJ_SIPING_B3_0612,2026-07-05 05:00:00,0.348,26.8,24.2,1,1,1,0
TJ_SIPING_B3_0612,2026-07-05 06:00:00,0.497,26.4,24.4,1,1,1,0
